Country,Name of holiday,Date of holiday,Year of event,Independence from
 Afghanistan,Afghan Independence Day (Afghan Victory Day),August 19,1919,United Kingdom
 Albania,Flag Day (Dita e Flamurit),November 28,1912,Ottoman Empire
 Algeria,Independence Day,July 5,1962,France
 Andorra,None,,,
 Angola,Independence Day,November 11,1975,Portugal
 Antigua and Barbuda,Independence Day,November 1,1981,United Kingdom
 Argentina,Independence Day,July 9,1816,Spanish Empire
 Armenia,Republic Day,May 28,1918,Russian Soviet Federative Socialist Republic
 Armenia,Independence Day,September 21,1991,Soviet Union
 Australia,Australia Day,January 26,1788,United Kingdom
 Austria,National Day,October 26,1955,"Allied occupying powers (France, United Kingdom, United States and the Soviet Union)"
 Azerbaijan,Independence Day,May 28,1918,Russian Soviet Federative Socialist Republic
 Azerbaijan,Republic Day,October 18,1991,Soviet Union
" Bahamas, The",Independence Day,July 10,1973,United Kingdom
 Bahrain,Independence Day,December 16,1971,United Kingdom
 Bangladesh,Independence Day,March 26,1971,Pakistan
 Bangladesh,Victory Day,December 16,1971,Pakistan
 Barbados,Independence Day,November 30,1966,United Kingdom
 Belarus,Independence Day,July 3,1991,Soviet Union
 Belgium,National Day,July 21,1831,United Netherlands
 Belize,Independence Day,September 21,1981,United Kingdom
 Benin,Independence Day,August 1,1960,France
 Bhutan,National Day,December 17,1907,
 Bolivia,Independence Day,August 6,1825,Spain
 Bosnia and Herzegovina,Independence Day,March 1,1992,Socialist Federal Republic of Yugoslavia
 Botswana,Independence Day,September 30,1966,United Kingdom
 Brazil,Independence Day (Dia da Independência),September 7,1822,"United Kingdom of Portugal, Brazil and the Algarves"
 United Kingdom,British National Day,June 12,,
 Brunei,National Day,February 23,1984,United Kingdom
 Bulgaria,Liberation Day,March 3,1878,Ottoman Empire
 Bulgaria,Independence Day,September 22,1908,Ottoman Empire
 Burkina Faso,Proclamation of Independence Day,December 11,1958,France
 Burkina Faso,Independence Day,August 5,1960,France
 Burundi,Independence Day,July 1,1962,Belgium
 Cambodia,Independence Day,November 9,1953,France
 Cameroon,National Day,May 20,1960,France and United Kingdom
 Canada,Canada Day,July 1,1867,United Kingdom
 Cape Verde,Independence Day,July 5,1975,Portugal
 Central African Republic,National Day,December 1,1958,France
 Central African Republic,Independence Day,August 13,1960,France
 Chad,Republic Day,November 28,1958,France
 Chad,Independence Day,August 11,1960,France
 Chile,Independence Day (part of Fiestas Patrias),September 18,1810,Spanish Empire
" China, People's Republic of",National Day,October 1,1949,
" China, Republic of",National Day,October 10,1911,
 Colombia,Independence Day,July 20,1810,Spanish Empire
 Comoros,Independence Day,July 6,1975,France
" Congo, Democratic Republic of the",Independence Day,June 30,1960,Belgium
" Congo, Republic of the",Republic Day,November 28,1958,France
" Congo, Republic of the",Independence Day,August 15,1960,France
 Costa Rica,Independence Day,September 15,1821,Spanish Empire
 Croatia,Statehood Day,May 30,1990,SFR Yugoslavia
 Cuba,Commencement of the Wars of Independence,October 10,1868,Spanish Empire and United States
 Cyprus,National Day,April 1,1955,United Kingdom
 Cyprus,Independence Day,October 1,1960,United Kingdom
 Czech Republic,Independence Day,October 28,1918,Austria-Hungary
 Czech Republic,Restoration Day,January 1,1993,Czechoslovakia
 Denmark,Constitution Day,June 5,1849,Germany
 Djibouti,Independence Day,June 27,1977,France
 Dominica,Independence Day,November 3,1978,United Kingdom
 Dominican Republic,Independence Day,February 27,1821 and 1844,Spain
 East Timor,Independence Restoration Day,May 20,2002,Indonesia
 Ecuador,Independence Day,August 10,1809,Spanish Empire
 Ecuador,Battle of Pichincha day,May 24,1822,Spanish Empire
 Egypt,,,,
 Egypt,Revolution Day,July 23,1952,United Kingdom
 El Salvador,Independence Day,September 15,1821,Spanish Empire
 Equatorial Guinea,Independence Day,October 12,1968,Spain
 Eritrea,Independence Day,May 24,1991,Ethiopia
 Estonia,Independence Day,February 24,1918,Russian Soviet Federative Socialist Republic
 Estonia,Day of Restoration of Independence,August 20,1991,Soviet Union
 Eswatini,Somhlolo Day,September 6,1968,United Kingdom
 Ethiopia,,,,Kingdom of Italy
 Fiji,Fiji Day,October 10,1970,United Kingdom
 Finland,Independence Day,December 6,1917,Russian Soviet Federative Socialist Republic
 France,National Day or Bastille Day,July 14,1789,
 Gabon,Independence Day,August 17,1960,France
" Gambia, The",Independence Day,February 18,1965,United Kingdom
 Georgia,Independence Day,May 26,1918,Russian Soviet Federative Socialist Republic
 Georgia,Day of National Unity,April 9,1991,Soviet Union
 Germany,German Unity Day,October 3,1990,
 Ghana,Independence Day,March 6,1957,United Kingdom
 Greece,Independence Day,March 25,1821,Ottoman Empire
 Grenada,Independence Day,February 7,1974,United Kingdom
 Guatemala,Independence Day,September 15,1821,Spanish Empire
 Guinea,Independence Day,October 2,1958,France
 Guinea-Bissau,Independence Day,September 24,1973,Portugal
 Guyana,Independence Day,May 26,1966,United Kingdom
 Haiti,Independence Day,January 1,1804,France
 Honduras,Independence Day,September 15,1821,Spanish Empire
 Hungary,Day of Hungarian Freedom(A magyar szabadság napja),last Saturday of June,1991,
 Iceland,National Day,June 17,1944,Denmark
 India,Republic Day,January 26,1950,
 India,Independence Day (Swatantra Diwas),August 15,1947,United Kingdom
 Indonesia,Independence Day (Hari Kemerdekaan),August 17,1945,Netherlands and Japan
 Iran,Iranian Islamic Republic Day,April 1,1979,
 Iraq,Independence Day,October 3,1932,United Kingdom
 Ireland,none,December 6,1921,United Kingdom of Great Britain and Ireland
 Israel,Independence Day (Yom Ha'atzmaut),"Iyar 5  (On or between Apr 15 and May 15, depending on the Hebrew calendar).",1948,United Kingdom and the British Mandate for Palestine
 Italy,Anniversary of the Unification of Italy,March 17,1861,
 Ivory Coast,Independence Day,August 7,1960,France
 Jamaica,Independence Day,August 6,1962,United Kingdom
 Japan,None,,1952,Supreme Commander for the Allied Powers
 Jordan,Independence Day,May 25,1946,United Kingdom
 Kazakhstan,Independence Day,December 16,1991,Soviet Union
 Kenya,Jamhuri Day,December 12,1963,United Kingdom
 Kiribati,Independence day,July 12,1979,United Kingdom
 North Korea,National Liberation Day of Korea(Chogukhaebangŭi na),August 15,1948,Soviet Union
 South Korea,March 1st Movement (Samiljeol),March 1,1919,Empire of Japan and the United States
 South Korea,National Liberation Day of Korea (Gwangbokjeol),August 15,1948,Empire of Japan and the United States
 Kuwait,National Day,February 25,1961,United Kingdom
 Kyrgyzstan,Independence Day,August 31,1991,Soviet Union
 Laos,Lao National Day,December 2,1975,France
 Latvia,Proclamation Day of the Republic of Latvia,November 18,1918,Russian Soviet Federative Socialist Republic and German Empire
 Latvia,Day of Restoration of Independence,May 4,1990,Soviet Union
 Lebanon,Independence Day,November 22,1943,France
 Lesotho,Independence Day,October 4,1966,United Kingdom
 Liberia,Independence Day,July 26,1847,American Colonization Society
 Libya,Independence Day,December 24,1951,"Italy, United Kingdom, France"
 Liechtenstein,National Day,August 15,1886,German Confederation
 Lithuania,Statehood Restoration Day,February 16,1918,Russian Soviet Federative Socialist Republic and German Empire
 Lithuania,Independence Restoration Day,March 11,1990,Soviet Union
 Luxembourg,None,,,
 Madagascar,Independence Day,June 26,1960,France
 Malawi,Independence Day,July 6,1964,United Kingdom
 Malaysia,Independence Day (Hari Merdeka),August 31,1957,United Kingdom
 Maldives,Independence Day,July 26,1965,United Kingdom
 Mali,Independence Day,September 22,1960,France
 Malta,Independence Day,September 21,1964,United Kingdom
 Marshall Islands,Constitution Day,May 1,1979,United States
 Mauritania,Independence Day,November 28,1960,France
 Mauritius,Independence Day,March 12,1968,United Kingdom
 Mexico,Cry of Dolores Grito de DoloresDía de la Independéncia,September 16,1810,Spanish Empire
 Micronesia,Independence Day,November 3,1986,United States
 Moldova,Independence Day,August 27,1991,Soviet Union
 Monaco,None,,,
 Mongolia,Independence Day,December 29,1911,Qing China
 Montenegro,Independence Day,May 21,2006,Serbia and Montenegro
 Morocco,Proclamation of Independence Day,January 11,1944,France and Spain
 Morocco,Independence Day,November 18,1955,France and Spain
 Mozambique,Independence DayDia da Independência Nacional,June 25,1975,Portugal
 Myanmar,Independence Day,January 4,1948,United Kingdom
 Namibia,Independence Day,March 21,1990,South Africa
 Nauru,Independence Day,January 31,1968,"Australia, New Zealand and the United Kingdom"
   Nepal,None,,,
 Netherlands,Independence Day,July 26,1581,Spanish Empire
 New Zealand,None,,,
 Nicaragua,Independence Day,September 15,1821,Spanish Empire
 Niger,Independence Day,August 3,1960,France
 Nigeria,Independence Day,October 1,1960,United Kingdom
 North Macedonia,Independence Day (Den na nezavisnosta),September 8,1991,SFR Yugoslavia
 Norway,Constitution Day,May 17,1814,Denmark
 Norway,Independence Day,June 7,1905,Sweden
 Oman,National Day,November 18,1650,Portugal
 Pakistan,Independence Day (Youm-e-Azadi),August 14,1947,United Kingdom
 Palau,None,,,
 Palestine,National Day,November 15,1988,Israel
 Panama,Independence Day,November 28,1821,Spain
 Panama,Separation Day,November 3,1903,Colombia
 Papua New Guinea,Independence Day,September 16,1975,Australia of the former Territory of Papua and New Guinea
 Paraguay,Independence Day,May 14 and May 15,1811,Spanish Empire
 Peru,Fiestas Patrias,July 28,1821,Spanish Empire
 Philippines,Independence Day (Araw ng Kalayaan or Araw ng Kasarinlan),June 12,1898,Spanish Empire
 Philippines,Republic Day,July 4,1946,United States
 Poland,Independence Day (Święto Niepodległości),November 11,1918,Russian Soviet Federative Socialist Republic and German Empire
 Portugal,Restoration of Independence Day,December 1,1640,Spanish Empire
 Qatar,National Day,December 18,1878,Ottoman Empire
 Qatar,Independence from Britain,December 18,1971,United Kingdom
 Queensland,Separation Day,December 10,1859,Colony of New South Wales
 Romania,State Independence Day of Romania(Ziua Independenței de Stat a României),May 9,1877,Ottoman Empire
 Russia,Russia Day,June 12,1992,Soviet Union
 Rwanda,Independence Day,July 1,1962,Belgium
 Saint Kitts and Nevis,Independence Day,September 19,1983,United Kingdom
 Saint Lucia,Independence Day,February 22,1979,United Kingdom
 Saint Vincent and the Grenadines,Independence Day,October 27,1979,United Kingdom
 Samoa,Independence Day,June 1,1962,New Zealand
 San Marino,,,,
 São Tomé and Príncipe,Independence Day,July 12,1975,Portugal
 Saudi Arabia,National Day,September 23,1932,
 Senegal,Independence Day,April 4,1960,France
 Serbia,Statehood Day,February 15,1804 and 1835,Ottoman Empire
 Seychelles,Independence Day,June 29,1976,United Kingdom
 Sierra Leone,Independence Day,April 27,1961,United Kingdom
 Singapore,National Day,August 9,1965,Malaysia
 Slovakia,Independence Day,July 17,1992,Czechoslovakia
 Slovenia,Independence and Unity Day,December 26 and June 25,1991,SFR Yugoslavia
 Solomon Islands,Independence Day,July 7,1978,United Kingdom
 Somalia,Independence Day,July 1,1960,Italy and United Kingdom
 Somaliland,Independence Day,May 18,1991,Somali Democratic Republic
 South Africa,Not a holiday,December 11,1931,United Kingdom
 South Sudan,Independence Day,July 9,2011,Sudan
 Spain,National Day,October 12,1492,
 Sri Lanka,Independence Day,February 4,1948,United Kingdom
 Sudan,Independence Day,January 1,1956,Egypt and the United Kingdom
 Suriname,Independence Day,November 25,1975,Netherlands
 Sweden,National Day,June 6,1905,"Kalmar Union, Norway, Denmark"
  Switzerland,Swiss National Day,August 1,1291,Holy Roman Empire
 Syria,Evacuation Day,April 17,1946,France
 Tajikistan,Independence Day,September 9,1991,Soviet Union
 Tanzania,Independence Day,December 9,1961,United Kingdom
 Thailand,,,,
 Togo,Independence Day,April 27,1960,France
 Tonga,,June 4,1970,United Kingdom
 Trinidad and Tobago,Independence Day,August 31,1962,United Kingdom
 Tunisia,Independence Day,March 20,1956,France
 Turkey,,,,
 Turkey,Republic Day,October 29,1923,
 Turkmenistan,Independence Day,September 27,1991,Soviet Union
 Tuvalu,Independence Day,October 1,1978,United Kingdom
 Uganda,Independence Day,October 9,1962,United Kingdom
 Ukraine,Independence Day,August 24,1991,Soviet Union
 Ukraine,Day of Unity,January 22,1919,Russian Soviet Federative Socialist Republic
 United Arab Emirates,National Day,December 2,1971,United Kingdom
 United States,Independence Day or Fourth of July,July 4,1776,Kingdom of Great Britain
 Uruguay,Independence Day,August 25,1825,United Provinces of the Río de la Plata
 Uzbekistan,Independence Day,September 1,1991,Soviet Union
 Vanuatu,Independence Day,July 30,1980,United Kingdom and France
  Vatican City,Independence Day,February 11,1929,Italy
 Venezuela,Independence Day,July 5,1811,Spanish Empire
 Vietnam,Independence Day,September 2,1945,Empire of Japan and France
 Yemen,Independence Day,November 30,1967,United Kingdom
 Zambia,Independence Day,October 24,1964,United Kingdom
 Zimbabwe,Independence Day,April 18,1980,United Kingdom
